cluster_id,name,description,size,total_size,member_clusters,sample_summaries
0,Resolve LangGraph production deployment stability and LangChainJS memory issues,"Users experienced critical production deployment stability issues including JavaScript health check failures, application shutdowns, database lock timeouts, and unexpected scaling events that caused executions to get stuck, be duplicated, or fail. Additionally, users encountered memory leak problems with MaxListenersExceededWarning in LangChainJS when using parallel_tool_calls: false in their agent workflow implementations.",3,3,,"['help with production instability issues in their deployment, specifically JS health check failures causing executions to get stuck, be duplicated, or fail, and they need guidance on preventing these errors or increasing machine resources.', 'help with a production deployment issue on the platform where they are experiencing multiple critical problems including application shutdowns, database lock timeout errors, and unexpected scaling events that are preventing their users from accessing the application smoothly.', 'help them resolve a MaxListenersExceededWarning memory leak issue in LangChainJS that occurs when using parallel_tool_calls: false with their agent workflow implementation. The support team attempted to reproduce the issue but was unable to replicate the warning with the same code and package versions.']"
1,Resolve LangSmith platform infrastructure and connectivity issues,"Users reported various LangSmith platform infrastructure and service issues including outages, SSL certificate problems, connection errors, authentication failures after database migrations, and web application UI module loading failures. Support requests also included inquiries about rate limit adjustments for high traffic periods, service level agreements, and general communication channels for platform support.",20,20,,"['provide a comprehensive summary of the user\'s support request from the conversation. The user is experiencing a ""Forbidden"" error when trying to use LangSmith, which appears to be an authentication and access issue that resolved itself during the support interaction.', ""provide information about the user's overall support request. The user requested help with SSO roles/groups validation in LangSmith to restrict user access and clarification on how active users are calculated for licensing purposes when using authentication providers."", 'provide a summary of the conversation. The conversation is about a user reporting a bug where cache_creation token counts are not displayed in the LangSmith popover/tooltip, despite being present in the API response metadata when using a bedrock model with caching functionality.']"
2,Configure LangGraph platform production infrastructure and deployment settings,"Users requested support for deploying and configuring LangGraph platform infrastructure in production environments, including BYOC/BYOK setups, Helm chart configurations, load balancer settings, and container orchestration with Kubernetes/ECS. They also sought guidance on scaling policies, pricing models for self-hosted deployments, authentication configurations, and quota increases for multiple environment deployments.",29,29,,"['provide technical support for LangGraph Platform thread execution control, specifically regarding immediate thread termination, state updates during execution, cancellation signal processing, and scalability considerations for self-hosted Docker deployments including database sharing and load balancing across multiple server instances.', 'provide information about when LangGraph will be supported on LangSmith Self-hosted for BYOC (Bring Your Own Cloud) deployments, and whether BYOC will always require a SaaS control plane.', 'help with two technical issues related to LangGraph Platform (LGP): implementing assistant-specific authentication to handle multiple customers with different vector database configurations in a single deployment, and resolving a bug with RemoteGraph when used as a subgraph that prevents proper functionality across multiple deployments.']"
3,Follow up on unresponded communications and affiliate applications,Users requested follow-up information on previous communications and affiliate program applications that had not received responses from the LangChain support team. They also sought direct contact methods to provide sales and outreach improvement suggestions after unsuccessful email attempts.,3,3,,"['provide a follow-up on a previous email they sent, asking if it was received and if there are any updates available.', 'provide a way to contact the company directly to share suggestions for improving sales and outreach, as their email attempts have been unsuccessful.', 'check the status of their affiliate program application and expedite the review process if possible.']"
4,Manage LangSmith subscription timeline modifications and credit extensions,"Users requested modifications to their existing LangSmith subscriptions including cancellation dates, credit extensions, and non-renewal preferences for future planning purposes. Support agents processed these subscription management requests by updating account settings and confirming timeline changes without immediate service termination.",4,4,,"['cancel their subscription effective 2/28/2025 due to a cancelled credit card and internal company restructuring. The support agent confirmed the cancellation request and updated the subscription status accordingly.', 'help them understand how to disable their subscription without affecting their user accounts, as they anticipate reactivating it in the future when their business needs change.', 'extend the duration of their $250 in credits that were set to expire in June, requesting an additional year extension due to being too busy to use them.']"
5,Handle unsolicited business and spam communications to LangChain support,"LangChain support teams received and processed multiple unsolicited business inquiries including investment proposals, marketing collaborations, SEO services, supplier registrations, phishing attempts, and domain sales offers. The support staff appropriately declined these non-technical spam communications and categorized them as unrelated to legitimate LangChain ecosystem support needs.",23,23,,"['categorize a support conversation, but the conversation provided is actually a notification email about updated terms and policies from a financial services company, not a support request related to any of the specified categories.', ""categorize and analyze a support conversation between an AI assistant and a user. The conversation involves an unsolicited business offer from a petroleum company, which the AI assistant appropriately declined as spam/non-technical inquiry since it's unrelated to LangChain services."", 'categorize a support interaction, but the conversation itself shows an external company reaching out with an unsolicited promotional offer for an affiliate marketing partnership, which was declined by the team.']"
6,Resolve LangSmith account email and authentication issues,"Users experienced
email-related account management issues in LangSmith, primarily involving email
address updates, password resets, and confirmation email delivery problems.
These requests required assistance with account authentication processes,
troubleshooting email delivery delays, and resolving technical issues that
prevented users from completing standard account modification procedures.",19,19,,"[""change their email address in their account settings, but they encountered a bug where the system isn't sending the required confirmation email to complete the email change process."", 'help them access a LangSmith account that belonged to a former employee who is no longer with the company, so they can download usage receipts and transition the account to their own email address. The issue was resolved when the support agent removed the email from the bounce/suppression list, allowing password reset emails to be delivered successfully.', 'change their account sign-in email address. The support team provided instructions to access account settings through the user avatar dialog to edit the email address using a pencil icon.']"
7,Configure LangSmith playground evaluation workflows and UI features,"Users sought assistance with advanced LangSmith playground configuration and workflow optimization for prompt evaluation and testing, including setting up auto evaluators with few-shot examples, implementing non-blocking TypeScript evaluations, and managing prompt versioning workflows. They also requested various UI improvements and feature enhancements for the playground interface, such as better trace visualization, property ordering fixes, template auto-updates, prompt text diff viewing, and enhanced filtering capabilities for experiment outputs.",11,11,,"['help them understand how to effectively set up and iterate on auto evaluators in the playground, specifically wanting to use few-shot examples with saved prompts and have evaluators automatically pick up new prompt versions. The support agent acknowledged current limitations and provided workarounds while mentioning upcoming UI improvements for evaluator configuration.', ""help them understand how to achieve non-blocking behavior in TypeScript similar to Python's blocking=False parameter for evaluations, as they need to work within a CI/CD process that has a 15-minute timeout limit."", 'display prompt IDs instead of prompt types in the trace view, and to group multiple prompt invocations while keeping them distinguishable by name in the trace interface.']"
8,Process LangSmith organization account GDPR data deletion requests,Users requested deletion of their organization accounts and all associated personal data under GDPR data subject access rights through LangSmith's admin support system. The support team processed these data deletion requests by confirming user intent and successfully completing account removals from their systems.,30,30,,"['delete their account and organization under GDPR data subject access rights. The support team confirmed the deletion request and completed the data removal process.', 'delete their organization account and associated data under GDPR data deletion rights. The support team confirmed deletion of one organization and identified a second organization that may also need deletion.', 'delete their organization account under GDPR data deletion rights. The user confirmed their request to proceed with the account deletion after receiving a confirmation email from the support team.']"
9,Troubleshoot LangSmith trace display and interface navigation issues,"Users requested help with various LangSmith trace viewing and navigation issues, including problems with UI element visibility, trace loading performance, missing trace data, and interface functionality. The support requests specifically focused on troubleshooting trace display problems, improving trace interface usability, and resolving issues where traces were incomplete, hanging, or inaccessible through the LangSmith dashboard.",13,13,,"['improve the visual highlighting of selected traces in the interface, as the current selection indicator is too subtle and difficult to locate when scrolling through long lists.', 'help them understand why they are seeing extremely high latency numbers (10s of minutes to over an hour) in LangSmith traces for streaming responses, which appear to correlate with GeneratorExit errors and pending run statuses.', 'help them with a LangSmith support issue related to accessing prompts in traces, which they demonstrated through a video walkthrough. The issue was resolved after the support team inquired about their software versions and consulted with engineering.']"
