cluster_id,name,description,size,total_size,member_clusters,sample_summaries
0,Promote LangGraph projects and seek community partnerships,"Users requested promotional and community support for their LangGraph-based projects, seeking social media features, repository contributions, and platform showcases. They also asked for partnership opportunities, community engagement, and visibility for their open-source tools built on the LangGraph framework.",18,18,,"['share a success story about using LangGraph in production for biological data workflows, rather than requesting technical assistance.', 'welcome new members to the community who have been working with LangGraph and the ecosystem. This is not a technical request but rather a general community welcome message, so it should be classified as an outlier.', 'feature their open-source project built on LangGraph across social media platforms to increase visibility and reach among developers.']"
1,Fix cross-provider model compatibility and integration issues,"Users experienced compatibility and integration issues across different AI model providers when using LangChain framework components, including parameter validation errors, tool calling failures, and format conversion problems. They sought bug fixes, workarounds, and clarification on framework behavior for cross-provider compatibility, structured outputs, and model-specific parameter handling.",10,10,,"[""clarify the support model for a specific repository (whether it's officially supported or community-driven) before reporting a bug related to parsing non-utf8-encoded emails."", 'understand the possible values for the method property in the withStructuredOutput function in TypeScript, specifically seeking clarification on the allowed values and default behavior for the generation type parameter.', 'help solve an issue with tool calling and response formatting, where the final output is not returning the exact response from a tool verbatim as instructed in the system prompt, but instead continues formatting from where the tool response left off.']"
2,Cancel subscriptions and process refunds for billing issues,"Users requested to cancel their subscriptions and obtain refunds for various reasons including expired payment methods, duplicate billing from region migrations, accidental subscription activation, and unused services. These requests involved billing issues, subscription plan changes, and account cancellations due to technical platform complexity or lack of usage.",59,59,,"['process a refund for their subscription payment after cancelling their unused service, which is a billing and account-related issue rather than a technical development request.', 'cancel their subscription to a service and ensure they are not billed for an additional month after cancellation, as they no longer need the service for their current work situation.', 'delete their account and subscription, as they could not find a self-service option to do so. The support representative provided instructions to submit a data subject access request form to process the account deletion.']"
3,Configure enterprise self-hosted LangSmith deployments with compliance requirements,"Users requested comprehensive guidance for configuring and deploying self-hosted LangSmith platforms across various enterprise environments with specific requirements for SSL compliance, HIPAA regulations, multi-tenant access control, and custom infrastructure setups. These requests focused on technical implementation challenges including database migrations, security policy configurations, permission management systems, and integration with existing enterprise authentication and storage solutions.",27,27,,"['provide assistance with deploying BYOC (Bring Your Own Cloud) and self-hosted LangSmith with managed ClickHouse, with the goal of getting the deployment live as soon as possible.', 'understand how to create and use global personal access tokens in LangSmith that can work across multiple workspaces, including how to specify target workspaces for tracing operations and evaluations.', ""confirm compatibility and integration support between LangSmith and Google Cloud's Vertex AI for production use, specifically asking whether the integration is in beta or fully production-ready.""]"
4,Debug LLM runtime execution and tracing system failures,"Users reported various runtime issues with LLM call execution and tracing, including random latency spikes, connection timeouts, structured output bugs, and integration failures with specific providers like Google Generative AI. They also experienced problems with LangSmith trace logging, playground functionality, SSL certificate loading errors, and serverless environment compatibility issues that prevented proper LLM operation monitoring.",13,13,,"['help investigate and troubleshoot random latency spikes in their chain with multiple LLM calls, where execution times vary unpredictably from 1 second to 30 seconds for the same simple operations.', 'address a bug where the structured output functionality with a specific LLM provider intermittently returns None instead of the expected structured response or raising an exception, and to improve error handling by having the system raise exceptions rather than silently returning None when parsing fails.', 'report a bug where the integration between a specific Google Generative AI chat model and the Langmem memory management system is failing, causing infinite stalling and internal server errors, while the same code works fine with other LLM providers.']"
5,Access PDF invoice downloads from LangSmith billing interface,"Users requested access to download PDF invoices and invoice documentation from the LangSmith platform interface for accounting, tax, and business compliance purposes. They encountered difficulties locating download options in the billing section and needed assistance obtaining historical invoices and receipts through the platform's user interface.",23,23,,"['get PDF copies of their invoices from the usage and billing section, as they were unable to find a download option in the interface. This is a billing and account-related issue where the user needed assistance accessing their invoice documents in PDF format.', 'locate and obtain an invoice/receipt for a payment made through their account, as they were unable to find the download option in the billing/payments section of the platform. This is a billing and account-related issue where the customer needed assistance accessing their payment documentation for accounting purposes.', 'receive a copy of a specific invoice for billing purposes, which is an account-related administrative request rather than a technical development issue.']"
6,Obtain LangGraph enterprise pricing and deployment information,"Developers requested comprehensive enterprise information about LangGraph deployment options, including pricing structures, licensing terms, quotas, and infrastructure requirements for production environments. They sought guidance on self-hosted versus cloud deployments, enterprise features, startup programs, and platform capabilities for scaling graph-based applications to handle high concurrent user loads.",24,24,,"[""clarify the 1M nodes executed limitation in the platform, specifically asking about how nodes are counted in graph execution, where to check usage/balance, and whether the limit is per year or total and how it's tracked across accounts or API keys."", 'find a client library for their web product to communicate with their graph service deployed on the platform, specifically seeking guidance on generating a client using available tools and understanding the implementation difficulty.', 'get guidance on reducing latency overhead in their on-premise deployment of a graph server, specifically seeking configuration adjustments to minimize the approximately 500ms overhead they observed during benchmarking.']"
7,"Optimize LangGraph platform
storage and scaling infrastructure","Users requested help
with LangGraph and LangSmith infrastructure optimization and storage management
for high-scale production deployments. They needed guidance on database
performance tuning, checkpoint storage optimization, Redis configuration, TTL
policies, and platform scaling to handle thousands of concurrent operations and
millions of weekly LLM calls.",26,26,,"['help with caching hub.pull queries for local execution to improve development performance, and later to troubleshoot deployment errors when using the platform.', 'help troubleshoot database connectivity issues with their self-hosted LangGraph deployment, specifically related to PostgreSQL connection limits and performance problems. The issue was eventually resolved by splitting the server architecture with separated Redis and database instances across multiple LangGraph servers.', 'help configure storage classes and node selectors for postgres database volumes in platform deployments, and to resolve deployment validation issues related to ingress configuration and gateway routing.']"
8,Analyze spam and phishing messages for security classification,"Users requested analysis of various spam, phishing, and unsolicited messages including security notifications, promotional emails, vendor inquiries, and fraudulent documents that were unrelated to AI development work. These requests involved identifying and categorizing suspicious communications such as account verification codes, document signing requests, invoice scams, and business solicitations that required security assessment rather than technical development support.",19,19,,"[""analyze an unsolicited electronic document received by a company. This is an outlier as it's unrelated to technical development and appears to be a spam or phishing email rather than a legitimate technical support request."", 'provide a technical assessment of a spam message regarding oil and gas products. This is an outlier as it is unrelated to technical development or LangChain support issues.', 'analyze a potential spam or phishing message that appears to be a document signing request from an HR system. This is an outlier as it is unrelated to technical development.']"
9,Configure and troubleshoot LangSmith evaluation workflows and dashboards,"Users sought comprehensive guidance on implementing, configuring, and troubleshooting various evaluation workflows in LangSmith, including setting up custom evaluators, managing evaluation parameters, and resolving runtime errors with async functions. They requested help with creating cost dashboards, configuring display options, understanding evaluation metrics, implementing user-specific feedback systems, and streamlining workflows for evaluating prompts with PDF attachments.",19,19,,"['help troubleshoot a TypeError issue when setting up an evaluator in LangSmith JS for testing a PDF data extraction workflow, specifically understanding how to properly configure the evaluation pipeline with their dataset and clarifying the purpose of the dataset in relation to their custom evaluators.', 'help them create a dashboard in LangSmith that breaks out total cost by team or user, specifically needing guidance on how to use filters to create bar charts showing 7-day costs for the top 10 highest cost users and costs for each team over 7 days.', 'resolve an issue with LangSmith and LangChain, and to understand how to prevent evaluators from creating extra columns in their system.']"
