cluster_id,name,description,size,total_size,member_clusters,sample_summaries
0,Resolve LangSmith SDK integration and dataset interface issues,"Users experienced various technical issues with LangSmith SDK implementations across TypeScript and Python, including problems with structured output configuration, dataset data retrieval, image handling in messages, and attachment downloads. They also encountered UI/UX problems with dataset interfaces such as configuring list view displays and metadata visibility issues during experiment result downloads.",6,6,,"['provide information about the possible values for the method property in the `withStructuredOutput` function in TypeScript, specifically asking about allowed values and defaults for the generation type parameter.', 'understand how to configure which values are displayed in a list view within the dataset interface, specifically wanting to change from the default status field to other fields and switch from compact to full display mode.', ""help with downloading datasets from LangSmith using TypeScript SDK, as the datasets are returning empty despite containing data, and also to resolve Slack community access issues where they couldn't join due to email domain restrictions.""]"
1,Fix LangSmith dashboard UI bugs and interface functionality issues,"Users experienced various interface functionality issues in the LangSmith dashboard, including disappearing runs in collapsed views, broken scrolling in the playground, non-loading navigation bars, and crashes when viewing traces with specific content. Support teams resolved these UI bugs through code fixes, system upgrades, and browser compatibility updates while also gathering user feedback on navigation and display problems.",22,22,,"['help them with a technical issue where the LangSmith web application crashes when trying to view specific trace URLs that contain base64-encoded images in the prompt content. The support team worked to reproduce the issue using public trace links and deployed fixes to resolve the dashboard crashing behavior.', ""help with a LangSmith support issue where projects weren't displaying in the tracing interface despite showing 400+ projects in the workspace, which was caused by a database memory limit error that was eventually resolved after a system upgrade, followed by a secondary issue with user invitations not working properly across organizations."", 'restore a deleted project on LangSmith that contained important traces and data, but the support team was unable to recover the accidentally deleted project.']"
2,Resolve LangSmith and LangGraph technical bugs and configuration issues,"The support requests involved resolving various technical bugs and functionality issues across LangSmith's core features, including token calculation errors in the Playground, JavaScript errors preventing Playground access, authentication problems in self-hosted deployments, and validation errors in LangGraph Studio. Users also needed assistance with configuration problems like LLM provider defaults, webhook payload issues, tracing integration failures, and UI customization guidance for LangChain Agent Chat components.",46,46,,"['help them with a bug report about incorrect token calculation for image prompts in the playground and SDK, where uploaded images are counted as approximately 100,000 tokens based on their base64 string instead of the correct ~100 tokens when using image URLs.', ""help them set up a LangSmith evaluator for their PDF data extraction workflow, specifically troubleshooting a TypeError related to the 'split' method and understanding how to properly configure the evaluation pipeline with their dataset."", ""help with a technical issue they're experiencing with the FireCrawlLoader component in the LangChain Python library, specifically a ValueError about unsupported parameters when trying to crawl URLs. The support agent directed them to open a GitHub issue for community assistance with their OSS Python implementation problem.""]"
3,Resolve LangSmith platform deployment and authentication configuration issues,"Users encountered various LangSmith platform configuration, authentication, and functionality issues requiring technical support and troubleshooting across self-hosted and cloud deployments. The requests included problems with CSV export functionality, SSO login failures, API rate limits, multi-organization setup, authentication errors, feedback management features, and platform outages.",48,48,,"['provide a comprehensive summary of the user\'s LangChain/LangSmith support request based on the conversation provided. The user is experiencing OAuth authentication issues with LangSmith, specifically encountering ""Unknown Error"" messages when attempting to log in via GitHub SSO and ""request too large"" errors when using Google SSO, with the problems appearing to be related to redirect handling between different authentication providers.', 'provide a summary of the conversation, which is actually an organizational change notification about team leadership transitions rather than a LangChain/LangSmith support request.', ""help them understand what the user's overall LangChain/LangSmith support request was about. The user reported that the platform was down, which was ultimately resolved when they discovered and fixed a missing security group configuration in their load balancer setup.""]"
4,Resolve LangGraph Platform infrastructure and deployment operational issues,"Users experienced various LangGraph Platform infrastructure and operational issues including license key problems, deployment failures and timeouts, database connectivity issues, migration notifications requiring manual intervention, and stability problems affecting development productivity. They sought technical assistance to resolve platform-level issues, understand migration requirements, troubleshoot deployment problems, and obtain proper licensing for both self-hosted and cloud deployments.",37,37,,"['help them understand the content of a support message they received about a LangGraph deployment migration issue. The user needs to create a new revision of their deployment to migrate from deprecated legacy infrastructure to new infrastructure before a specified deadline to avoid permanent project deletion.', 'help them get their developer seat back on LangSmith after trying the plus plan without getting extra use, and to enable 4-5 deployments on LangGraph platform.', 'help them understand the LangGraph deployment migration issue they received, which requires manual intervention to create a new revision due to a failed auto-migration from legacy infrastructure.']"
5,Complete third-party vendor security questionnaires and compliance assessments,"Users requested assistance with completing third-party vendor risk assessments, security questionnaires, and compliance documentation for their organizations' procurement and vendor management processes. The support team consistently directed users to the trust center for self-service security and compliance information, while escalating enterprise-tier requests to sales teams for detailed questionnaire completion.",37,37,,"['provide information about the security measures section of the platform assessment. The support agent directed them to the trust center for security and compliance documentation.', 'complete a privacy assessment for the platform, specifically requesting information across multiple sections including general information, hosting, data processing, security measures, and artificial intelligence/machine learning components. The support team directed them to the trust center for security and compliance documentation to help complete their assessment.', 'complete a security questionnaire and provide trust center documentation for third-party security compliance assessment purposes.']"
6,Process personal LangSmith account deletion requests under privacy regulations,Users submitted requests to delete their personal LangSmith accounts and all associated personal data from the platform under privacy regulations like GDPR. The support team directed users to complete data subject access request (DSAR) forms and provided step-by-step instructions for processing these personal account deletion requests.,47,47,,"['delete their account from the platform. The support team directed them to complete a data subject access request form to process the account deletion.', 'delete their organization and account.', 'delete their account and all personal data from the platform. The support team processed this data deletion request and confirmed completion of the account and data removal.']"
7,Increase LangGraph platform deployment quota limits for multiple environments,"Users requested increases to their LangGraph platform deployment quotas, typically seeking to expand from the default limit of 1 deployment to 2-5 deployments to support multiple environments like development, staging, and production. These requests were primarily related to quota limitations during the open beta period, with most users successfully receiving quota increases from support agents to accommodate their multi-environment deployment needs.",37,37,,"['increase the number of available deployments on their LangGraph Cloud account from 1 to a higher limit. The support agent fulfilled this request by increasing their deployment limit to 5.', ""provide a quota increase for LangGraph Cloud deployments to support two proof-of-concept projects (one internal, one for customers) with expected low volume usage. The support team successfully increased the organization's deployment quota from the default to 5 available deployments."", 'increase the deployment quota for their LangGraph platform account. The request was successfully fulfilled by increasing their deployment limit to 5 deployments.']"
8,Filter and categorize spam communications targeting support channels,"The support team received and categorized various types of spam communications including phishing emails impersonating companies for document signatures, automated notifications from third-party services, unsolicited marketing emails about casinos and domain sales, and irrelevant messages from educational organizations. The team appropriately declined these fraudulent communications and warned about potential phishing attempts while requesting removal from unsolicited mailing lists.",43,43,,"['categorize a promotional email from a freelance writer as spam, which falls under the ""Other Support - Spam"" category as it\'s an unsolicited marketing message unrelated to technical support.', 'categorize a spam email that was automatically generated and contains an electronic document notification in Spanish. This falls under the ""Spam"" category as it\'s an unsolicited automated email unrelated to technical support.', 'categorize a spam or irrelevant message that contains a one-time passcode, which falls under the ""Spam"" category as it appears to be an unsolicited or misdirected automated message rather than a legitimate support request.']"
9,Resolve LangSmith billing and subscription management issues,"Users contacted support to resolve various billing and subscription management issues including duplicate charges, incorrect startup pricing applications, plan cancellations, and refund requests for unused LangSmith services. The support team addressed these concerns by processing refunds, applying credits, canceling unwanted subscriptions, and clarifying pricing structures for different LangSmith plan types.",10,10,,"['add more seats to their account without upgrading to an enterprise plan, which evolved into a sales inquiry about enterprise pricing and features after learning about the unlimited seats and trace-based billing model.', 'help with billing and account management issues related to startup pricing not being applied correctly and adding a new user to their startup account. The support agent resolved the billing discrepancy by adding a credit and confirmed the startup pricing would take effect in the following month.', 'resolve a duplicate billing issue where they were being charged for two separate startup plan subscriptions ($19 and $57 monthly) when they only needed one. The support agent identified two organizations under the same email address, cancelled the unwanted subscription, and processed a refund.']"
10,Manage LangGraph platform deployment quotas and environment configuration,"Users requested comprehensive support for LangGraph platform deployment management including quota increases, environment separation, data migration assistance, and deployment configuration guidance. The support team addressed these requests by increasing deployment limits, providing migration processes, explaining contextual tracing for multi-tenant setups, and helping with deployment lifecycle management including cron job handling.",19,19,,"[""add a second deployment to their organization's account for their application, so they can freeze their current production version while continuing development on an improved version. The support team successfully fulfilled this request by adding another deployment to bring their total count to 2."", 'increase their deployment quota from 1 to 2 for the cloud platform. They want to test migrating their current deployment from another cloud provider to the platform and need additional quota capacity for comparison testing.', 'provide an additional cloud deployment for their production environment to separate it from their development environment. The request was successfully fulfilled by increasing their deployment limit to 5 deployments.']"
11,Configure LangSmith trace retention policies and storage management,"Users needed help managing trace data retention and storage settings in LangSmith, including configuring retention policies, understanding plan limits, and troubleshooting deletion issues that weren't properly freeing up disk space. They also sought guidance on extending retention periods, managing auto-upgraded traces in experiments, and understanding how trace limits work across different subscription plans.",10,10,,"[""help reduce storage usage in their database by deleting old trace data, but the deletion operations weren't freeing up disk space as expected due to database optimization issues. The support team helped troubleshoot the problem by identifying that deleted data parts needed to be manually dropped to actually reclaim storage space."", 'provide information about trace retention policies after upgrading from Base to Extended plan, specifically whether existing traces receive extended retention and if the 400-day limit can be increased.', 'get help with a data retention issue in LangSmith where old traces from February were not being automatically deleted despite setting the project retention policy to 14 days. The support team ultimately recommended creating a new project with proper retention settings and deleting the old project, though this solution would result in losing 14 days of recent trace history.']"
