cluster_id,name,description,size,total_size,member_clusters,sample_summaries
0,Build document processing and vector retrieval systems,"Users requested help with document processing and information retrieval tasks including PDF content extraction, vector database storage, and retrieval method optimization for various file types. They also sought assistance with database queries, content comparison, and information search across different domains and document sources.",50,50,,"[""review an updated CSPM OJT template and have the supervisor add scores to the form once the submission is evaluated, as part of the user's course completion requirements."", 'find information about the winner of the IPL 2025 cricket tournament.', 'explain the differences between the varchar and text data types in the PostgreSQL database.']"
1,Debug AI agent tool integration and error handling issues,"Users encountered various debugging challenges across different AI agent implementations, including SQL query handling errors, tool integration failures, memory issues, and session management problems. They sought technical assistance to resolve specific error messages, troubleshoot network connectivity issues, and debug code-related problems in their AI applications.",30,30,,"['help them troubleshoot and resolve issues with handling complex SQL queries and multi-part questions in their application.', ""help them understand and correct an error they are encountering when executing a formula extraction and validation script. The user is seeking guidance on how to fix the issue and improve the script's performance."", 'troubleshoot and resolve an issue with their Outlook calendar sync, and to provide guidance on how to create a support ticket for the issue.']"
2,Implement ReAct agents using LangChain create_react_agent function,"Users requested
guidance on implementing and configuring ReAct agents using LangChain's
create_react_agent function, including tool integration, prompt handling, and
error management. They sought help with ReAct agent setup across different
platforms like Groq, Bedrock, and various programming languages including
Python, JavaScript, and TypeScript.",14,14,,"['understand whether the `create_react_agent` function in LangChain can handle and process a list of messages, and the assistant provides a detailed explanation of how this functionality works.', 'create a ReAct agent named ""research_expert"" that can perform web searches and provide research-related responses, without doing any math.', 'help them create a React agent that uses an MCP (Model Context Protocol) server as a tool, and to understand how to integrate a PydanticAI agent into a LangGraph workflow or graph.']"
3,Get general LangChain framework information and implementation guidance,"Users sought comprehensive information about the LangChain framework, including general concepts, features, and architecture explanations covering topics like text splitters, prompts, indexing, and the overall ecosystem. They also requested specific implementation help with database integrations (SQLite, NoSQL), configuration settings for token limits and retrievers, code examples for various LangChain components, and guidance on tracing/monitoring features with LangSmith.",44,44,,"['explain what it means when a tool is described as ""not serializable"" but having ""local"" and ""JS support"" in the context of LangChain integrations.', 'rewrite a code snippet using LangChain Messages instead of the original format.', 'understand how to use and configure the SelfQueryRetriever feature in LangChain, including how to access the specific filtering conditions it applies and how to modify its default search behavior.']"
4,Build and optimize RAG systems with vector databases,"The requests focused on building and optimizing Retrieval-Augmented Generation (RAG) systems using various components including Ollama models, vector databases like FAISS, and document processing for PDFs, CSVs, and other file formats. Users sought help with implementing RAG pipelines, avoiding vector regeneration, integrating memory mechanisms, and improving retrieval accuracy through query rewriting and chunking strategies.",14,14,,"['learn how to set up a Retrieval Augmented Generation (RAG) system using the large language models and embedding models provided by the Ollama service.', ""help build a Retrieval Augmented Generation (RAG) system using the user's PDF embeddings."", ""avoid regenerating vectors for Retrieval-Augmented Generation (RAG) when the source file hasn't changed, and the assistant provides a detailed explanation on how to achieve this using LangChain's indexing API.""]"
5,Learn LangChain RecursiveUrlLoader for recursive webpage content extraction,The user sought to learn how to use the RecursiveUrlLoader component in LangChain to load content from web pages and their child links. They wanted to understand the recursive functionality that allows the loader to follow and extract content from nested webpage hierarchies.,24,24,,"['learn how to use the RecursiveUrlLoader in LangChain to load content from a webpage and its child links.', 'learn how to use the RecursiveUrlLoader in LangChain to load content from a webpage and its child links recursively.', 'learn how to use the RecursiveUrlLoader in LangChain to load content from a web page and its child links recursively.']"
6,Debug LangGraph deployment and server configuration issues,"Users sought help troubleshooting deployment and configuration issues with LangGraph containers, servers, and development environments, including Docker deployments, port settings, security schemas, and networking problems. They also requested assistance debugging integration issues with vector databases, embeddings, tracing setup, and CLI server configurations across different deployment contexts.",10,10,,"['understand why the LangGraph server behaves differently when run in development mode versus when built and deployed as a Docker container. Specifically, the user wants to know why the port settings are different in the two cases.', 'understand how to customize the OpenAPI security schema for a LangGraph Standalone Container running on Docker.', 'explain the concept of ""Optional tracing"" for LangSmith in the Standalone Container deployment.']"
7,Implement core LangChain message handling and model integration features,"Users requested guidance on core LangChain operations including message object manipulation, structured output extraction, conversation history management, and model integration across various providers like OpenAI, AWS Bedrock, and custom LLMs. They sought help with implementing specific LangChain features such as streaming control, memory management with MemorySaver, chatbot development with LangGraph orchestration, and debugging unit tests for AI chat applications.",43,43,,"['help integrate LangGraph with the Telegram Bot API to create a banking transaction history feature.', 'help debug and fix issues with unit tests for the AI chat application, including mocking dependencies and handling streaming behavior.', 'learn about the StrOutputParser, a component in the LangChain library that extracts plain text from message objects returned by chat models.']"
8,Learn LangChain fundamentals and Pydantic integration basics,"Users sought comprehensive guidance on LangChain fundamentals including core library features, prompt templates, output parsing with Pydantic models, and LLM initialization with OpenAI API compatibility. They requested help with practical implementation challenges such as rate limiting, batch processing, tool calling configurations, and structured data handling through PydanticOutputParser.",40,40,,"['learn about the features and capabilities of LangChain, a framework for building applications with large language models. The user asks about specific LangChain concepts like tools, system messages, and agent-based models.', 'help design Pydantic models with optional fields to handle dynamic and partially missing data, and to integrate this with LangChain and LangGraph to generate prompts and summaries.', 'verify the correctness of a code snippet for invoking a large language model (LLM) with a prompt template in the LangChain library.']"
9,Set up local LLM deployment with Ollama and LangChain integration,"Users needed guidance on setting up and running large language models locally on their laptops using the Ollama platform. They specifically sought instructions for Ollama installation, model selection, and integration with LangChain across different operating systems including Windows and Ubuntu.",14,14,,"['learn how to run a large language model locally on their laptop using the Ollama platform and LangChain integration.', 'learn how to run a large language model locally on their laptop using the Ollama platform and LangChain integration.', 'get instructions on how to run the Ollama AI system locally on their Windows and Ubuntu computers, including how to download and use Ollama models with LangChain.']"
