cluster_id,name,description,size,total_size,member_clusters,sample_summaries
0,Resolve LangSmith SDK data access and configuration issues,"Users experienced various technical issues with LangSmith SDK data access and configuration across TypeScript and Python implementations, including problems with dataset downloads returning empty results, metadata visibility issues, and missing UI configuration options. They also encountered specific SDK bugs such as attachment download failures in the Python SDK and needed guidance on proper parameter configurations for structured output methods and image handling in messages.",6,6,,"['provide information about the possible values for the method property in the `withStructuredOutput` function in TypeScript, specifically asking about allowed values and defaults for the generation type parameter.', 'understand how to configure which values are displayed in a list view within the dataset interface, specifically wanting to change from the default status field to other fields and switch from compact to full display mode.', ""help with downloading datasets from LangSmith using TypeScript SDK, as the datasets are returning empty despite containing data, and also to resolve Slack community access issues where they couldn't join due to email domain restrictions.""]"
1,Fix LangSmith dashboard UI bugs and interface functionality issues,"Users reported numerous UI bugs and interface functionality issues in the LangSmith dashboard, including problems with navigation bars, breadcrumb links, scrolling functionality, date filters, and crashes when viewing specific traces or content types. The support team identified and deployed fixes for various frontend issues including long title display problems, markdown formatting in Playground, base64 image rendering crashes, and dashboard modification functionality.",22,22,,"['help them with a technical issue where the LangSmith web application crashes when trying to view specific trace URLs that contain base64-encoded images in the prompt content. The support team worked to reproduce the issue using public trace links and deployed fixes to resolve the dashboard crashing behavior.', ""help with a LangSmith support issue where projects weren't displaying in the tracing interface despite showing 400+ projects in the workspace, which was caused by a database memory limit error that was eventually resolved after a system upgrade, followed by a secondary issue with user invitations not working properly across organizations."", 'restore a deleted project on LangSmith that contained important traces and data, but the support team was unable to recover the accidentally deleted project.']"
2,Resolve LangSmith and LangGraph platform technical issues and bugs,"Users reported various technical issues across LangSmith and LangGraph platforms including dashboard errors, playground bugs, dataset upload limitations, self-hosting infrastructure problems, and JavaScript library recursion limit bugs. The support team provided troubleshooting assistance, bug fixes, and infrastructure guidance to resolve UI rendering issues, authentication errors, performance problems, and feature configuration failures.",46,46,,"['help them with a bug report about incorrect token calculation for image prompts in the playground and SDK, where uploaded images are counted as approximately 100,000 tokens based on their base64 string instead of the correct ~100 tokens when using image URLs.', ""help them set up a LangSmith evaluator for their PDF data extraction workflow, specifically troubleshooting a TypeError related to the 'split' method and understanding how to properly configure the evaluation pipeline with their dataset."", ""help with a technical issue they're experiencing with the FireCrawlLoader component in the LangChain Python library, specifically a ValueError about unsupported parameters when trying to crawl URLs. The support agent directed them to open a GitHub issue for community assistance with their OSS Python implementation problem.""]"
3,Resolve LangSmith platform outages and UI functionality issues,"Users encountered various LangSmith platform service disruptions including website outages, API downtime, timeout errors in LangGraph deployments, and rate limiting issues during high traffic periods. Additionally, users reported specific UI bugs in LangSmith including trace log display problems, text selection issues in large contexts, and auto-evaluator prompt input errors causing data loss.",48,48,,"['provide a comprehensive summary of the user\'s LangChain/LangSmith support request based on the conversation provided. The user is experiencing OAuth authentication issues with LangSmith, specifically encountering ""Unknown Error"" messages when attempting to log in via GitHub SSO and ""request too large"" errors when using Google SSO, with the problems appearing to be related to redirect handling between different authentication providers.', 'provide a summary of the conversation, which is actually an organizational change notification about team leadership transitions rather than a LangChain/LangSmith support request.', ""help them understand what the user's overall LangChain/LangSmith support request was about. The user reported that the platform was down, which was ultimately resolved when they discovered and fixed a missing security group configuration in their load balancer setup.""]"
4,Resolve LangGraph platform deployment infrastructure and migration issues,"Users encountered various critical LangGraph platform deployment issues including infrastructure migration failures, license key problems, and deployment accessibility concerns. They required assistance with resolving platform outages, understanding migration notifications, troubleshooting deployment configurations, and addressing deployment limits before production launches.",37,37,,"['help them understand the content of a support message they received about a LangGraph deployment migration issue. The user needs to create a new revision of their deployment to migrate from deprecated legacy infrastructure to new infrastructure before a specified deadline to avoid permanent project deletion.', 'help them get their developer seat back on LangSmith after trying the plus plan without getting extra use, and to enable 4-5 deployments on LangGraph platform.', 'help them understand the LangGraph deployment migration issue they received, which requires manual intervention to create a new revision due to a failed auto-migration from legacy infrastructure.']"
5,Complete third-party security questionnaires and vendor compliance assessments,"Users requested assistance with completing third-party security questionnaires and vendor risk assessments for compliance purposes. The support team consistently directed users to the trust center for self-service security documentation, with security questionnaires only available for enterprise tier customers with minimum annual commitments.",37,37,,"['provide information about the security measures section of the platform assessment. The support agent directed them to the trust center for security and compliance documentation.', 'complete a privacy assessment for the platform, specifically requesting information across multiple sections including general information, hosting, data processing, security measures, and artificial intelligence/machine learning components. The support team directed them to the trust center for security and compliance documentation to help complete their assessment.', 'complete a security questionnaire and provide trust center documentation for third-party security compliance assessment purposes.']"
6,Process LangSmith personal account deletion requests under GDPR,Users submitted multiple requests to permanently delete their personal LangSmith accounts and associated data under GDPR and privacy regulations. The support team consistently directed users to complete Data Subject Access Request (DSAR) forms to process these account deletion requests within specified timeframes.,47,47,,"['delete their account from the platform. The support team directed them to complete a data subject access request form to process the account deletion.', 'delete their organization and account.', 'delete their account and all personal data from the platform. The support team processed this data deletion request and confirmed completion of the account and data removal.']"
7,Increase LangGraph Platform deployment quota limits during beta,"Users consistently requested increases to their LangGraph Platform deployment quotas during the open beta period, typically needing to expand from the default limit of 1 deployment to accommodate multiple environments like development, staging, and production. Support agents successfully fulfilled these quota increase requests by raising deployment limits to requested numbers ranging from 2 to 50 deployments per organization.",37,37,,"['increase the number of available deployments on their LangGraph Cloud account from 1 to a higher limit. The support agent fulfilled this request by increasing their deployment limit to 5.', ""provide a quota increase for LangGraph Cloud deployments to support two proof-of-concept projects (one internal, one for customers) with expected low volume usage. The support team successfully increased the organization's deployment quota from the default to 5 available deployments."", 'increase the deployment quota for their LangGraph platform account. The request was successfully fulfilled by increasing their deployment limit to 5 deployments.']"
8,Handle spam email categorization and security threat identification,"Support teams received and categorized multiple unsolicited marketing emails offering various services including SEO, domain sales, trademark protection, and other commercial content as spam. The support representatives appropriately declined these non-technical inquiries and identified potential phishing attempts to protect the LangChain organization from malicious communications.",43,43,,"['categorize a promotional email from a freelance writer as spam, which falls under the ""Other Support - Spam"" category as it\'s an unsolicited marketing message unrelated to technical support.', 'categorize a spam email that was automatically generated and contains an electronic document notification in Spanish. This falls under the ""Spam"" category as it\'s an unsolicited automated email unrelated to technical support.', 'categorize a spam or irrelevant message that contains a one-time passcode, which falls under the ""Spam"" category as it appears to be an unsolicited or misdirected automated message rather than a legitimate support request.']"
9,Resolve LangSmith billing and startup program pricing issues,"Users requested assistance with LangSmith billing and account management issues, including adding seats without upgrading plans, resolving duplicate subscriptions, and understanding startup program pricing structures. Support agents resolved these requests by processing refunds, canceling unwanted subscriptions, applying billing credits, and explaining LangSmith's seat-based and trace-based billing models.",10,10,,"['add more seats to their account without upgrading to an enterprise plan, which evolved into a sales inquiry about enterprise pricing and features after learning about the unlimited seats and trace-based billing model.', 'help with billing and account management issues related to startup pricing not being applied correctly and adding a new user to their startup account. The support agent resolved the billing discrepancy by adding a credit and confirmed the startup pricing would take effect in the following month.', 'resolve a duplicate billing issue where they were being charged for two separate startup plan subscriptions ($19 and $57 monthly) when they only needed one. The support agent identified two organizations under the same email address, cancelled the unwanted subscription, and processed a refund.']"
