cluster_id,name,description,size,total_size,member_clusters,sample_summaries
0,Troubleshoot LangGraph Cloud and self-hosted infrastructure deployment issues,"Users encountered deployment failures, performance issues, and infrastructure problems with LangGraph Cloud and self-hosted LangGraph services, including HTTP errors, timeouts, DNS outages, CPU usage spikes, and trace leakage between services. Support teams diagnosed and resolved issues related to server configuration, environment variables, shared resources, certificate management, and API integration problems affecting production deployments.",19,19,,"['The customer reported an issue with a LangChain process running indefinitely on LangGraph Cloud, showing an invalid negative execution time and causing unnecessary costs. The support team is investigating and has asked the customer to specify which deployment is affected.', 'The customer reported DNS issues affecting two LangGraph deployments due to missing DNS records, temporarily resolving it with an Ngrok tunnel. The support team identified the root cause as conflicting DNS records created during certificate renewal and resolved it by adding specific wildcard records, with plans to improve certificate workflows and DNS monitoring.', 'The customer reported trace leakage between two self-deployed Langgraph.js API servers on GCP Cloudrun, suspecting shared Postgres/Redis instances or other factors. The support rep confirmed the issue is likely due to shared Redis/Postgres and advised using separate logical instances for each service.']"
1,Process empty LangChain support request cluster,"No specific LangChain or LangSmith support requests were provided in the input, as the answers section appears to be empty. Without actual support tickets to analyze, it's not possible to identify technical issues, component-specific problems, or user needs related to the LangChain ecosystem.",657,657,,"['', '', '']"
2,Assist with LangChain ecosystem component usage and technical guidance,"The customers requested guidance on various LangChain OSS components, LangSmith features, and LangGraph platform capabilities, including tool selection, dataset management, tracing configuration, and deployment settings. The support representatives provided documentation links, code examples, clarifications on component usage, and technical assistance across the LangChain ecosystem.",22,22,,"['A customer inquired about documentation for setting up OpenTelemetry tracing in a Scala project. The support rep provided a link to relevant documentation and clarified that the example, though in Python, could be adapted for Scala.', ""The customer sought help with an issue where the NaturalLanguageESQLTool's output was not being returned verbatim as instructed. The support rep suggested approaches like streaming intermediate chunks or using graph models, while the customer shared their solution of modifying system prompts and including example responses, which seemed to resolve the issue."", 'The customer expressed gratitude for receiving an answer and mentioned trying again.']"
3,Resolve LangSmith and LangGraph account authentication and access issues,"Users experienced various LangSmith and LangGraph account access issues including login failures, missing confirmation emails, and password expiration notifications. Support representatives assisted with account authentication troubleshooting, email address updates, and SSO integration problems to restore platform access.",23,23,,"['The customer was notified that their password is about to expire and was advised to update it to ensure uninterrupted account access.', 'The customer reported an invalid credentials error when logging in with their organizational team ID and issues with password reset emails expiring. The support representative found no account linked to the provided email but identified one associated with another email and requested confirmation.', 'The customer initially reported an issue with their deployment type being set to ""Development (free)"" despite having a pro account, but later resolved it independently. They also requested assistance in contacting the sales team to discuss a corporate account, and the support rep provided information about Enterprise plans and a contact form for further communication.']"
4,Provide LangGraph technical guidance and collect community feedback,"Customers shared project demos, blog posts, and feature proposals with the LangChain team while also requesting guidance on LangGraph workflow patterns, annotation rubrics tutorials, and custom UI development approaches. Support representatives provided documentation links, forwarded feedback to relevant teams, and offered technical guidance on graph navigation and node processing techniques.",9,9,,"['A customer requested tutorial resources for the annotation rubrics feature, and a support rep provided a documentation link and offered to connect them with a specialist for further assistance.', 'A customer shared a GitHub link to a project they liked, highlighting its generative UI approach, smooth UI, and practical concurrency example. They also provided feedback on potential improvements, such as built-in configurable code and updates to langgraph. The support team acknowledged the input and forwarded it to a relevant team member, though the customer clarified no review was needed.', 'A customer shared a blog post with the LangChain team about their experience using LangSmith for evaluations. The support rep was impressed and shared the post with a colleague, promising to promote it widely the next day. The customer requested the promotion link when it was ready, and the support rep provided it the following morning.']"
5,Process LangSmith GDPR account deletion requests and UI fixes,"Users submitted GDPR and legal rights requests for personal data deletion from their LangSmith accounts, which support representatives successfully processed and confirmed as completed. The requests included account deletions and one UI issue where a non-functional delete button was reported and subsequently fixed to improve user experience.",15,15,,"['Maira Brandao Carvalho requested the deletion of her personal information and account under GDPR, and the support team confirmed the request was completed.', 'Sven Niwolik requested deletion of his account under GDPR but the request could not be processed because the confirmation email token expired before he could validate it due to a delay in email delivery. The support rep suggested Sven check with his email provider about the delay.', 'Roman Mashevskyi requested the deletion of his personal data under GDPR, and the support team confirmed the data removal was completed.']"
6,Resolve LangSmith paid plan downgrade limitations and workarounds,"Customers repeatedly inquired about downgrading from paid LangSmith plans (Plus, Startup) to free Developer plans, but were consistently informed that downgrading is not technically possible within the platform. Support representatives provided workarounds including creating new organizations, plan cancellations, credits, and in some cases facilitated upgrades to more suitable paid plans like the Startup program with better pricing structures.",11,11,,"['Diana reported issues accessing functionalities after upgrading to the Plus plan, citing account discrepancies and errors with Langsmith tracing services. The support team identified her accounts, issued a refund for a previous charge, and requested further details to resolve the API error and assist with upgrading her EU-based account for teaching purposes.', ""The support representative switched the plans on the customer's accounts, refunded the pro-rated seat for the Personal org, reverted it to developer, and upgraded Veleiro AI to Startup. The customer acknowledged and appreciated the assistance."", 'The customer inquired about reverting to the free tier after previously upgrading to a paid plan, but was informed that downgrading is not possible due to technical limitations. The support rep guided the customer to create a new organization, which resolved the issue.']"
7,Resolve LangSmith authentication and account access issues,"Customers experienced various LangSmith authentication and account access issues including login problems, organization access restrictions, password reset failures, and SSO/Okta integration difficulties. Support teams resolved these issues through account re-enablement, payment method updates, database user table modifications, and providing alternative login methods or browser troubleshooting steps.",36,36,,"['A customer reported that users were unable to sign in to Langsmith after their email addresses were changed. The support rep suggested updating the users table in the database or inviting the new email as a new user to resolve the issue, and the customer agreed to test these solutions and provide an update.', 'The customer reported issues with Langsmith invites not being received and login functionality. The support rep clarified that self-hosted setups do not send invite emails and suggested upgrading to resolve routing issues, but the customer later identified they were using the wrong endpoint, resolving the issue.', ""The customer reported 404 errors and delays in accessing the LangSmith UI login on their self-hosted platform. The support rep requested setup details, logs, and configuration information, identifying an issue with the authentication refresh token. The rep recommended upgrading to the latest versions of LangSmith and ensuring the 'offline_access' scope is included in the OAuth configuration.""]"
8,Clarify LangGraph Platform self-hosted deployment licensing and pricing requirements,"Customers inquired about LangGraph Platform and LangSmith self-hosted deployment options, pricing tiers, and licensing requirements for enterprise and startup use cases. Support representatives clarified that self-hosted deployments require Enterprise tier plans with minimum annual commitments, while explaining alternative options like LangGraph Platform Lite for smaller-scale local hosting needs.",24,24,,"[""A customer building a SaaS platform with LangGraph and CopilotKit requested an increase in LangGraph Platform deployment limits from 1 to 20 to support their serverless stack on Vercel. The support rep agreed to the increase and inquired about the customer's pricing expectations for potential future paid deployments, assuring preferential pricing as an early adopter."", ""The customer inquired about the 1 million node limit, billing structure, and eligibility for Self-Hosted Lite for LanGraph Server. The support rep clarified node definitions, tracking, and enforcement, explained the soft limit and future plans for pricing, and confirmed the customer's deployment qualifies for Self-Hosted Lite with some feature limitations."", ""A customer from ITRI in Taiwan inquired about LangChain's LangGraph Platform and LangSmith, focusing on fully self-hosted deployment, data privacy, offline operation, and licensing options. The support rep clarified that fully self-hosted plans require an enterprise agreement starting at $15k annually, telemetry data can potentially be disabled, and the developer plan includes a 1M node execution limit. Further details on enterprise plans and pricing can be discussed with the Sales team.""]"
9,Resolve LangGraph Platform deployment failures and infrastructure errors,"Customers reported various deployment failures, errors, and timeout issues on the LangGraph Platform requiring technical troubleshooting and infrastructure fixes. Support representatives diagnosed and resolved problems including Kubernetes configuration bugs, Redis connection failures, server outages, authentication errors, and platform reconciliation logic issues.",23,23,,"['The customer reported a 503 error on their LangGraph-hosted URL and a tracing limit issue, seeking to determine if the problem was due to their business logic or LangGraph. After providing logs and details, the support team confirmed the deployment is now healthy, and the customer is investigating the root cause to prevent future occurrences.', 'The customer reported multiple issues with their LangGraph deployment, including dependency conflicts, JSON serialization problems, and server timeouts. The support team identified and resolved the dependency and JSON issues, clarified that the server is not serverless with a 3600s timeout, and requested more details to address the remaining concerns about server restarts and background runs.', 'A customer from a Generative AI company reported deployment issues with LangGraph, including API limitations, server breakdowns, and Redis connection failures. The support engineer identified and resolved a Kubernetes configuration bug causing Redis outages and requested additional details to address API-related concerns and server capacity queries.']"
