example_id,summary,base_cluster_id,base_cluster_name,base_cluster_description,cluster_size,product,issue_type
cf0efb88-a9de-4e51-85f1-496f3c558f80,debugging help with LangSmith SDK tracing for Python implementation,10,Debug LangSmith Python SDK tracing integration and configuration errors,"Users experienced debugging issues with LangSmith Python SDK tracing integration, including problems with tracing context application, environment configuration, and metadata retrieval from model calls. The requests also involved troubleshooting serialization errors with StructuredPrompt objects and resolving connectivity issues between LangSmith SDK tracing and LangGraph Platform databases.",68,LangSmith,Debugging
7da8a167-ef45-4c4d-be18-321abef35787,debugging help with LangSmith SDK tracing for Python implementation,10,Debug LangSmith Python SDK tracing integration and configuration errors,"Users experienced debugging issues with LangSmith Python SDK tracing integration, including problems with tracing context application, environment configuration, and metadata retrieval from model calls. The requests also involved troubleshooting serialization errors with StructuredPrompt objects and resolving connectivity issues between LangSmith SDK tracing and LangGraph Platform databases.",68,LangSmith,Debugging
3ed1de7c-1085-4132-8554-ca0f29b6dbb9,debugging help with LangSmith SDK tracing for Python implementation,10,Debug LangSmith Python SDK tracing integration and configuration errors,"Users experienced debugging issues with LangSmith Python SDK tracing integration, including problems with tracing context application, environment configuration, and metadata retrieval from model calls. The requests also involved troubleshooting serialization errors with StructuredPrompt objects and resolving connectivity issues between LangSmith SDK tracing and LangGraph Platform databases.",68,LangSmith,Debugging
8144af1e-0bc6-4600-a9d2-300bdf3b0e9a,"debugging help with LangSmith tracing for Python implementation regarding incomplete traces when switching from OpenAI to DeepSeek model via Fireworks.ai, which was resolved by identifying that different models have varying propensities for tool usage requiring more explicit prompting",10,Debug LangSmith Python SDK tracing integration and configuration errors,"Users experienced debugging issues with LangSmith Python SDK tracing integration, including problems with tracing context application, environment configuration, and metadata retrieval from model calls. The requests also involved troubleshooting serialization errors with StructuredPrompt objects and resolving connectivity issues between LangSmith SDK tracing and LangGraph Platform databases.",68,LangSmith,Debugging
c7aac67d-0d3c-4eef-8a57-fe15c2978338,configuration help with LangSmith SDK tracing for Python implementation,10,Debug LangSmith Python SDK tracing integration and configuration errors,"Users experienced debugging issues with LangSmith Python SDK tracing integration, including problems with tracing context application, environment configuration, and metadata retrieval from model calls. The requests also involved troubleshooting serialization errors with StructuredPrompt objects and resolving connectivity issues between LangSmith SDK tracing and LangGraph Platform databases.",68,LangSmith,Debugging
8a613b93-d983-4529-a8b8-2c7fb4e2e572,debugging help with LangSmith SDK tracing for Python implementation,10,Debug LangSmith Python SDK tracing integration and configuration errors,"Users experienced debugging issues with LangSmith Python SDK tracing integration, including problems with tracing context application, environment configuration, and metadata retrieval from model calls. The requests also involved troubleshooting serialization errors with StructuredPrompt objects and resolving connectivity issues between LangSmith SDK tracing and LangGraph Platform databases.",68,LangSmith,Debugging
8ad2fc3c-827f-41db-a398-d7322250de5f,debugging help with LangSmith SDK tracing for Python implementation,10,Debug LangSmith Python SDK tracing integration and configuration errors,"Users experienced debugging issues with LangSmith Python SDK tracing integration, including problems with tracing context application, environment configuration, and metadata retrieval from model calls. The requests also involved troubleshooting serialization errors with StructuredPrompt objects and resolving connectivity issues between LangSmith SDK tracing and LangGraph Platform databases.",68,LangSmith,Debugging
3693a261-b679-472a-94db-168f33bcba76,"debugging help with LangSmith SDK tracing for Python implementation - traces are incomplete when using Bedrock models with function calls, with some runs appearing in ""All Runs"" tab but not properly associated with their parent trace",10,Debug LangSmith Python SDK tracing integration and configuration errors,"Users experienced debugging issues with LangSmith Python SDK tracing integration, including problems with tracing context application, environment configuration, and metadata retrieval from model calls. The requests also involved troubleshooting serialization errors with StructuredPrompt objects and resolving connectivity issues between LangSmith SDK tracing and LangGraph Platform databases.",68,LangSmith,Debugging
33c3bfe0-7031-4fa2-94c3-950e57f2891e,debugging help with LangSmith SDK tracing for Python implementation,10,Debug LangSmith Python SDK tracing integration and configuration errors,"Users experienced debugging issues with LangSmith Python SDK tracing integration, including problems with tracing context application, environment configuration, and metadata retrieval from model calls. The requests also involved troubleshooting serialization errors with StructuredPrompt objects and resolving connectivity issues between LangSmith SDK tracing and LangGraph Platform databases.",68,LangSmith,Debugging
c52d4290-00b2-46d5-99fd-87bb58b36087,"debugging help with LangSmith SDK tracing for Python implementation to retrieve trace metadata (start_time, end_time, run_id, trace_id) from OpenAI model calls",10,Debug LangSmith Python SDK tracing integration and configuration errors,"Users experienced debugging issues with LangSmith Python SDK tracing integration, including problems with tracing context application, environment configuration, and metadata retrieval from model calls. The requests also involved troubleshooting serialization errors with StructuredPrompt objects and resolving connectivity issues between LangSmith SDK tracing and LangGraph Platform databases.",68,LangSmith,Debugging
