cluster_id,name,description,size,total_size,member_clusters,sample_summaries,product,issue_type
1,Configure LangGraph Platform enterprise deployment infrastructure and database connectivity,"<summary>
LangGraph Platform teams addressed complex enterprise deployment, infrastructure, and database connectivity issues requiring DevOps and system architecture expertise. Teams needed to provide configuration guidance, troubleshoot runtime failures, optimize scaling performance, and support migration from legacy to production environments.",14,398,"[np.int32(1), np.int32(4), np.int32(33), np.int32(36), np.int32(66), np.int32(70), np.int32(73), np.int32(89), np.int32(100), np.int32(110), np.int32(115), np.int32(123), np.int32(125), np.int32(149)]",,LangGraph Platform,Configuration
6,Manage Admin account lifecycle billing authentication and data privacy operations,"<summary>
The Admin team resolved comprehensive account lifecycle management issues including billing configurations, subscription modifications, authentication problems, and data deletion requests across LangSmith and LangGraph platforms. These support cases required Admin team expertise in billing systems, user access management, organizational account transitions, and compliance with data privacy requirements.",13,323,"[np.int32(7), np.int32(15), np.int32(19), np.int32(20), np.int32(51), np.int32(63), np.int32(69), np.int32(81), np.int32(93), np.int32(96), np.int32(132), np.int32(134), np.int32(142)]",,Admin,Other
15,Block unsolicited commercial spam and marketing outreach from LangChain support channels,"<summary>
Support teams handled a high volume of unsolicited commercial spam including SEO services, marketing outreach, petroleum sales, domain sales, and mobile app development solicitations sent through LangChain's technical support channels. The spam/abuse team needed to implement automated filtering systems and process improvements to block non-technical commercial solicitations from reaching product support teams.",10,128,"[np.int32(25), np.int32(31), np.int32(32), np.int32(46), np.int32(74), np.int32(94), np.int32(105), np.int32(128), np.int32(138), np.int32(144)]",,LangChain,Other
9,Debug LangSmith SDK cross-platform integration and tracing implementation issues,"<summary>
LangSmith teams resolved SDK integration and tracing issues across Python, JavaScript, and TypeScript implementations, requiring debugging expertise for authentication, API access, and observability features. The SDK/Tracing team and API team collaborated to fix multi-component integration problems affecting Dashboards, Prompt Hub, and complex LangGraph workflow implementations.",10,245,"[np.int32(10), np.int32(13), np.int32(40), np.int32(57), np.int32(61), np.int32(68), np.int32(82), np.int32(102), np.int32(122), np.int32(131)]",,LangSmith,Debugging
0,Configure LangSmith Platform self-hosted enterprise deployment infrastructure and troubleshooting,"<summary>
LangSmith Platform teams addressed critical self-hosted enterprise deployment issues including infrastructure setup, SSL authentication failures, database performance optimization, and version migration compatibility problems. These issues required Platform engineering expertise for Kubernetes/Docker configurations, DevOps knowledge for production deployments, and database administration skills for ClickHouse optimization.",9,207,"[np.int32(0), np.int32(22), np.int32(29), np.int32(41), np.int32(53), np.int32(83), np.int32(92), np.int32(135), np.int32(148)]",,LangSmith,Configuration
3,Debug LangSmith web interface UI functionality and integration issues,"<summary>
The LangSmith UI team addressed multiple web interface issues including authentication problems, component integration bugs, dashboard functionality errors, and Playground model provider configuration issues. Solutions required frontend debugging expertise, OAuth integration fixes, API connection troubleshooting, and UI/UX enhancement implementation across the platform.",9,162,"[np.int32(3), np.int32(12), np.int32(27), np.int32(42), np.int32(54), np.int32(72), np.int32(79), np.int32(104), np.int32(108)]",,LangSmith,Debugging
2,Provide Admin and LangSmith enterprise security compliance documentation and audit requirements,"<summary>Product teams addressed enterprise customer requests for security compliance documentation, legal assessments, and audit requirements across LangSmith and Admin systems. This work required collaboration between Admin teams for business compliance processes, LangSmith teams for platform-specific security documentation, and legal/security specialists to provide GDPR compliance guides, penetration testing responses, and vendor risk assessment materials.",8,106,"[np.int32(2), np.int32(16), np.int32(47), np.int32(52), np.int32(76), np.int32(99), np.int32(109), np.int32(130)]",,LangSmith,Documentation
12,Debug LangChain and LangGraph multi-library integration and implementation issues,"<summary>
Users experienced implementation and integration challenges across LangChain Python library (AWS Bedrock, Elasticsearch, multi-provider chat models), LangGraph JavaScript library, and LangGraph Platform authentication that required debugging support and documentation clarification. The LangChain Python team, LangGraph JavaScript team, and LangGraph Platform team needed to provide integration expertise, debugging assistance, and improved implementation documentation.",7,156,"[np.int32(17), np.int32(49), np.int32(50), np.int32(58), np.int32(106), np.int32(111), np.int32(118)]",,LangGraph,Debugging
22,Configure LangSmith Administration workspace management and enterprise authentication systems,"<summary>
LangSmith Administration teams resolved workspace management, authentication, and data governance issues including SSO configuration, member invitations, trace retention policies, project migrations, and automation rules setup. These issues required Admin team expertise in authentication systems, data management policies, and enterprise deployment configurations.",7,90,"[np.int32(44), np.int32(45), np.int32(62), np.int32(64), np.int32(67), np.int32(71), np.int32(126)]",,LangSmith,Configuration
8,Route LangChain business partnership and investment inquiries to Sales team,"<summary>Support teams handled non-technical business inquiries including investment opportunities, partnership requests, trademark/branding services, and commercial collaboration outreach. These requests require routing to Sales and Business Development teams rather than technical product teams, with solutions typically involving business relationship management and partnership coordination.",5,122,"[np.int32(9), np.int32(21), np.int32(24), np.int32(37), np.int32(80)]",,LangChain,Other
