cluster_id,name,description,size,total_size,member_clusters,sample_summaries
0,Provide business development and product information support,"Users contacted LangChain support seeking product information, promotional materials, and business partnerships rather than technical assistance. These requests included startup guidance, conference access, marketing materials, content promotion, training recommendations, and general company information about LangGraph and LangSmith offerings.",18,18,,"['provide a general welcome message to new users who have been exploring the LangGraph ecosystem and related tools.', 'feature their open-source project built on LangGraph across social media channels to increase its reach and visibility among developers.', 'share information about a community-led tutorial project they are developing to make LangChain more accessible to developers globally, seeking acknowledgment and potential support from the LangChain team. This falls under the ""Other Support"" category as it\'s a community outreach inquiry rather than a technical support request.']"
1,Identify and categorize spam messages in LangChain support channels,"Users requested assistance to categorize and analyze various non-technical communications that were incorrectly routed through LangChain/LangSmith support channels, including unsolicited business proposals, marketing emails, and automated responses from unrelated systems. These requests involved identifying and properly categorizing spam content that had no connection to LangChain ecosystem technical support needs.",21,21,,"[""categorize and analyze a support conversation between an AI assistant and a user. The conversation involves an unsolicited business offer from a petroleum company, which the AI assistant appropriately declined as spam/non-technical inquiry since it's unrelated to LangChain services."", 'determine the support model for the langchain-google repository. The user encountered a bug related to parsing non-utf8-encoded emails and wanted to know if the repository is officially supported or community-driven before submitting a bug report or pull request.', 'analyze a resume for a Chief Financial Officer position, but this appears to be spam or a misdirected inquiry as it contains no LangChain/LangSmith support request.']"
2,Increase LangGraph Platform deployment quota limits,"Users consistently requested increases to their LangGraph Platform deployment quotas to support multiple environments and projects. The support team typically approved these requests by raising deployment limits from the default of 1 to higher numbers (commonly 2-5 deployments) to enable separate development, staging, and production environments.",30,30,,"['increase the number of available deployments on their LangGraph Cloud account from 1 to a higher limit. The support agent fulfilled this request by increasing their deployment limit to 5.', ""provide a quota increase for LangGraph Cloud deployments to support two proof-of-concept projects (one internal, one for customers) with expected low volume usage. The support team successfully increased the organization's deployment quota from the default to 5 available deployments."", 'increase the deployment quota for their LangGraph platform account. The request was successfully fulfilled by increasing their deployment limit to 5 deployments.']"
3,Process GDPR data deletion requests for LangSmith accounts,"Users requested deletion of their personal information, accounts, and organizations from LangSmith under GDPR data deletion rights. The support team processed and confirmed completion of these data deletion requests across their systems including databases and billing platforms.",30,30,,"['delete their account and organization under GDPR data subject access rights. The support team confirmed the deletion request and completed the data removal process.', 'delete their organization account and associated data under GDPR data deletion rights. The support team confirmed deletion of one organization and identified a second organization that may also need deletion.', 'delete their organization account under GDPR data deletion rights. The user confirmed their request to proceed with the account deletion after receiving a confirmation email from the support team.']"
4,Configure LangGraph deployment integrations and LangSmith trace API access,"Developers needed
support with configuring and managing LangGraph platform deployment
integrations, specifically for connecting deployed agents to external systems
like databases and chain libraries. They also required assistance with
programmatically accessing and filtering trace data through the LangSmith API,
including retrieving trace URLs and controlling tracing behavior for specific
functions.",4,4,,"['help them connect their deployed agent on the platform to their restricted-access database by obtaining IP addresses for whitelisting purposes. The support team provided a documentation link containing the necessary IP addresses for network configuration.', ""help them query their traces with metadata filters via API and get the URLs of all traces that match specific filters based on their metadata. The support agent provided guidance on using the SDK's `run.url` method and the REST API's `app_path` field to retrieve trace URLs."", 'find out how to exclude a specific function or chain from tracking in their workflow. The support agent provided a solution using the tracing_context parameter in the python SDK to disable tracing for specific functions.']"
5,Resolve platform outages and infrastructure connectivity issues,"Users reported various technical issues including platform outages and connectivity problems, billing system payment retry failures, and LangGraph functionality being blocked during LangSmith certificate outages. Additional issues included API errors with intermittent 404/503/500 responses, OAuth authentication failures with GitHub and Google SSO, UI bugs with auto-evaluator prompts and trace viewing, and documentation inconsistencies with TypeScript RunTree API methods.",26,26,,"['provide a comprehensive summary of the user\'s LangChain/LangSmith support request based on the conversation provided. The user is experiencing OAuth authentication issues with LangSmith, specifically encountering ""Unknown Error"" messages when attempting to log in via GitHub SSO and ""request too large"" errors when using Google SSO, with the problems appearing to be related to redirect handling between different authentication providers.', ""help them understand what the user's overall LangChain/LangSmith support request was about. The user reported that the platform was down, which was ultimately resolved when they discovered and fixed a missing security group configuration in their load balancer setup."", 'provide a comprehensive summary of the user\'s support request from the conversation. The user is experiencing a ""Forbidden"" error when trying to use LangSmith, which appears to be an authentication and access issue that resolved itself during the support interaction.']"
6,Resolve LangSmith self-hosted Kubernetes deployment infrastructure issues,"Users experienced various technical challenges when deploying LangSmith in self-hosted Kubernetes environments, including issues with Helm chart installations, license key validation, SSL/TLS certificate configuration, and authentication setup across different cloud platforms (AWS EKS, Azure AKS, GCP GKE). The support requests involved troubleshooting network connectivity problems, pod crashloops, backend service failures, and infrastructure configuration issues specific to enterprise security requirements and cloud-native deployments.",15,15,,"['help with LangSmith self-hosting deployment on their enterprise Kubernetes cluster, including resolving helm installation errors, configuring license keys, setting up proxy environment variables for egress connectivity, and addressing TLS termination requirements for their security policies.', 'help with LangSmith deployment issues in a private AKS (Azure Kubernetes Service) environment, with the support team requesting SDK version information and troubleshooting network connectivity problems.', 'help with LangSmith certificate validation issues in Docker containers, specifically needing to configure root certificates and SSL settings to properly connect to LangSmith services.']"
7,Resolve LangSmith platform authentication and login access failures,"Users experienced multiple authentication failures on the LangSmith platform, including non-functional social login providers, automatic logouts preventing access to tracing functionality, and persistent redirect loops back to login screens after successful credential entry. The authentication issues affected team onboarding, organizational access, and core platform functionality, with resolutions involving troubleshooting steps like clock synchronization fixes and alternative authentication methods.",7,7,,"['help them with login issues on the platform, specifically that both authentication methods (social login providers) are not working for accessing the service.', 'help with an automatic logout issue on the platform that prevents them from using tracing functionality, which is critical for their organization.', 'help them with a technical issue related to SSL validation being potentially blocked by a client VPN connection.']"
8,Resolve LangSmith and LangGraph platform technical issues and bugs,"Users experienced various technical issues across LangSmith and LangGraph platforms including API errors, playground bugs, missing traces, resource allocation problems, and deployment configuration challenges. They also sought help with authentication issues, token calculation bugs, batch processing documentation, and platform-specific functionality like thread resumption and nested configuration support.",20,20,,"['help them understand how to resume an existing thread run after an interrupt using the HTTP API, rather than creating a new run within the thread.', 'help them with a bug report about incorrect token calculation for image prompts in the playground and SDK, where uploaded images are counted as approximately 100,000 tokens based on their base64 string instead of the correct ~100 tokens when using image URLs.', 'help them with a security compliance issue related to insufficient logging and monitoring for API calls and anomalous behavior alerts. The support team directed them to the trust center for security and compliance documentation.']"
9,Resolve LangSmith duplicate billing charges across regions and organizations,"Users contacted support to resolve duplicate billing charges that occurred when they were charged twice for identical LangSmith services across multiple organizations or regions (US/EU). Support teams processed refunds for the erroneous duplicate charges and helped clarify billing discrepancies caused by account migrations, regional switches, or accidental multiple subscriptions.",11,11,,"['investigate and resolve a double-charging issue on their invoices, which was caused by having duplicate accounts in both US and EU regions with the same email address.', 'resolve duplicate billing charges for the same account. The user was being charged twice for identical services across two separate organizations in different regions, and requested a refund for one of the duplicate charges.', 'get a refund for a duplicate invoice after switching from the US to EU region, as they were unexpectedly charged twice when migrating their subscription. The support agent processed the refund for the US account invoice.']"
10,Resolve LangGraph Platform scaling and high-concurrency deployment challenges,"Users encountered scaling challenges and capacity limitations with their LangGraph Platform deployments, particularly when dealing with high-concurrency requirements, autoscaling constraints, and performance issues under load. They sought information about deployment architecture options, enterprise solutions, API automation capabilities, and troubleshooting guidance for production environments that exceeded standard capacity limits.",15,15,,"['understand deployment options and scaling plans for a client project that anticipates more than 100 concurrent users, which would exceed the current autoscaling limits of the cloud offering. The user specifically asked about alternative deployment options and associated costs for high-concurrency use cases.', ""provide information about the user's current production setup and potential issues with their Standalone container Enterprise deployment, including concerns about having to move their production environment again."", ""provide information about the current API rate limits for the Plus tier plan and suggestions for resolving rate limiting issues they're experiencing when scaling up evaluation runs.""]"
