cluster_id,name,description,size,total_size,member_clusters,sample_summaries
0,Filter unsolicited business and marketing spam from support channels,"Users sent multiple unsolicited business inquiries including partnership proposals, marketing services, job applications, investment opportunities, and promotional collaborations to LangChain support channels. These requests were appropriately categorized as spam since they involved non-technical solicitations unrelated to LangChain, LangSmith, or LangGraph technical support needs.",16,16,,"[""respond to a promotional email from a third-party AI agent marketplace seeking to schedule a demo call. This is categorized as spam since it's an unsolicited marketing inquiry unrelated to technical support."", 'share and engage with a recruitment post on social media that highlights their company\'s use of LangChain tools in their engineering stack. This falls under the ""Other Support - Spam"" category as it\'s a non-technical marketing/promotional request rather than a genuine support need.', ""provide social media management services for the company, offering to work for free for the first two weeks. This is categorized as spam since it's an unsolicited marketing outreach rather than a technical support request.""]"
1,Resolve LangSmith Datasets & Experiments platform bugs and data display issues,"Users experienced multiple technical issues with LangSmith's Datasets & Experiments functionality, including dataset version tagging problems, experiment view reporting failures after dataset restores, API errors during evaluation pipeline processing, and missing data in experiment results. The support team resolved most issues through platform upgrades, server-side bug fixes, feature reactivation, and providing workarounds for UI/UX limitations in self-hosted deployments.",14,14,,"[""help them with their LangSmith support request about dataset version tagging issues in the JavaScript client's evaluate function, where inconsistent timestamp precision and deleted examples cause incorrect version tracking, preventing reliable post-experiment dataset version tagging."", 'help them with a LangSmith Datasets & Experiments issue where experiment view reporting was broken after a dataset restore, specifically when running evaluations on older tagged dataset versions where the CLI worked but the UI showed empty runs despite traces being generated.', 'help them with their LangSmith evaluation function issues, specifically 404 and 503 errors encountered when accessing datasets through the evaluation API during their automated evaluation pipeline processing multiple minibatches of traces.']"
2,Increase LangGraph platform deployment quotas for advanced multi-environment workflows,"Users requested increases to their LangGraph platform deployment quotas to support multiple environments, testing, and scaling needs, with requests ranging from basic staging/production setups to complex multi-agent deployments requiring 3-5+ deployments. These requests were often coupled with additional technical needs including CI/CD pipeline implementation, performance troubleshooting, browser automation integration, authentication features, and broader LangSmith ecosystem consultation services.",11,11,,"['increase their development quota for custom agents on the platform. They want to deploy more custom agents for development purposes while understanding that production deployment may remain restricted due to cost considerations.', 'provide a second deployment for their platform to implement a CI/CD pipeline for their agent development, and they also inquired about month-to-month enterprise tier package options.', 'deploy a second agent for A/B testing purposes. The user wanted to know what steps were needed to deploy the second agent and whether there would be additional charges for the second deployment.']"
3,Process individual LangSmith account deletion requests under privacy regulations,"Users submitted requests to delete their personal accounts and associated data from the LangSmith platform, citing privacy regulations like GDPR or indicating they had signed up by mistake. The support team directed users to complete Data Subject Access Request (DSAR) forms to process these individual account deletion requests and confirmed completion of the data removal.",22,22,,"['delete their account from the platform. The support team directed them to complete a data subject access request form to process the account deletion.', 'delete their account and all personal data from the platform. The support team processed this data deletion request and confirmed completion of the account and data removal.', 'delete their account and personal data from the platform. This is a data deletion request under privacy regulations.']"
4,Resolve LangGraph platform deployment failures and production disruptions,"Users experienced various critical LangGraph platform deployment failures including system exit errors, asyncio cancellation issues, unexpected deployment deletions, and authentication problems that disrupted production environments. Support teams addressed these issues by identifying control plane problems, resolving licensing configuration errors, fixing auto-migration failures, and troubleshooting environment variable conflicts that prevented successful deployments.",23,23,,"['help with LangGraph platform deployment issues, specifically requesting an increased beta quota for deployments and then troubleshooting GitHub integration authentication errors that prevented successful deployment revisions.', 'help with a LangGraph platform deployment issue where their server revisions are failing with system exit and asyncio cancellation errors after building successfully. The support team identified a control plane issue for creating new revisions and provided a fix, recommending the user try deploying a new revision.', 'help with a LangGraph platform deployment migration issue where their deployment on legacy infrastructure failed to auto-migrate and requires manual intervention to create a new working revision before a specified deadline to avoid permanent project deletion.']"
5,"Resolve LangChain
Python OSS component integration and implementation issues","Users
experienced technical issues with various LangChain Python OSS components
including ValueError with FireCrawlLoader URL crawling parameters, Agent Chat
UI customization in Next.js, LangGraph Python project problems, and metadata
filtering limitations for nested keys. The support team consistently directed
users to open GitHub issues for community assistance rather than providing
direct technical solutions via email support.",4,4,,"[""help with a technical issue they're experiencing with the FireCrawlLoader component in the LangChain Python library, specifically a ValueError about unsupported parameters when trying to crawl URLs. The support agent directed them to open a GitHub issue for community assistance with their OSS Python implementation problem."", 'help them customize the LangChain Agent Chat UI in Next.js to hide internal system messages and only display final answers to users, along with guidance for adapting the UI for user testing prototypes. The support team redirected them to GitHub issues rather than providing direct technical assistance via email.', 'provide a summary of the conversation, which is a request for assistance with a LangGraph Python open-source project issue, with the support agent directing them to open a GitHub issue with a minimal reproducible example.']"
6,"Address general platform
administration and billing support issues","Users contacted
support for a diverse range of administrative and platform issues including
billing inquiries, account concerns, API rate limit questions, and platform
access problems. The requests also included technical issues like SSL
certificate errors, thread resumption via HTTP API, and deployment
configuration assistance.",14,14,,"['help them understand the nature of the support request in the conversation. The conversation shows a billing inquiry about a payment request that was ultimately confirmed as already processed through a payment platform.', 'help them understand how to resume an existing thread run after an interrupt using the HTTP API, rather than creating a new run within the thread.', 'provide information about their current API rate limits for the platform, specifically asking about current limits, whether limits are per API key, and if adjustments can be made. The support team directed them to the documentation and offered to review specific error examples.']"
7,Categorize non-technical conversations misclassified as LangChain support requests,"Support requests
asked to analyze conversation content for categorization within the LangChain
ecosystem, but most contained non-technical content like spam, automated
responses, or unrelated communications. These requests involved attempting to
classify support interactions that lacked actual LangChain, LangSmith, or
LangGraph technical issues.",16,16,,"[""analyze a support conversation and categorize the user's specific LangChain support request, but no actual conversation content was provided to analyze."", 'analyze and categorize a support conversation to determine what specific LangChain/LangSmith support issue was being addressed.', 'analyze a conversation that appears to be internal team coordination for a scheduled presentation or demo session about LangSmith, rather than a customer support request.']"
8,Optimize LangSmith tracing performance and cost management issues,"Users experienced various LangSmith tracing performance and cost management issues including excessive trace generation, trace mixing between services, API rate limiting, and inconsistent pricing calculations. They sought help with optimizing trace volumes, implementing proper cost tracking, resolving API errors, and improving tracing performance in production environments.",20,20,,"['help with LangSmith tracing issues where 20-40% of traces were not being submitted to the platform in their production FastAPI environment, despite no error messages appearing in logs. The support team helped diagnose the issue and provided solutions including updating the SDK version and implementing the wait_for_all_tracers() method, plus guidance on programmatic monitoring of trace submissions.', 'help resolve ""Too Many Requests"" errors they are encountering when using the API to extract data from runs, specifically when calling the list_runs method with delta records filtering.', 'help with performance issues when creating feedback in LangSmith at scale, specifically that the create_feedback API calls were taking too long when running large experiments with hundreds to thousands of examples across multiple machines, and the solution involved using the trace_id parameter to enable batching for better performance.']"
9,Resolve LangSmith platform account administration and deployment issues,"Users requested support to resolve complex administrative and technical issues with LangSmith platform accounts, including billing problems, startup plan management, authentication failures, and self-hosted deployment configuration errors. The support team provided solutions ranging from account credits and plan transfers to database migration fixes and custom authentication setup assistance.",14,14,,"['help with a technical issue where clicking the ""Get started"" button on their onboarding page was not working properly. The issue was eventually resolved after troubleshooting authentication problems and configuring service routing for their self-hosted deployment.', ""help with downgrading from a Plus plan to a Developer plan and resolving billing issues when they couldn't access the platform or select the desired plan. The support interaction involved providing account credits, processing refunds, and helping the user temporarily regain access to export their traces before creating a new organization."", 'help resolve database migration failures in their self-hosted deployment after attempting to rollback from version 0.7.5 to 0.6.24, which prevented users from being added to their organization. The issue required fixing stuck database migrations and ultimately upgrading to version 0.9 instead of rolling back.']"
